IDKABKOT,mean,sd,ci_lower,ci_upper,rse_pct,mse,rmse
1101,0.01159649145000888,0.002222486128414453,0.007345743923683466,0.015952671095551683,19.165159893363708,4.9394445909946656e-06,0.002222486128414453
1102,0.006029964048358672,0.001501854904024329,0.0032819969664899884,0.008982718336270866,24.90653164728448,2.2555681527419265e-06,0.001501854904024329
1103,0.0054166037557688024,0.0014441349710336213,0.0027264431270683414,0.008210854287909587,26.661262963819084,2.0855258145622783e-06,0.0014441349710336213
1104,0.00648694185937504,0.00172675307080892,0.003502724167684696,0.010092527238496246,26.61890777259529,2.981676167548035e-06,0.00172675307080892
1105,0.0071690297556675124,0.001584487919530805,0.00422705152864569,0.01032603081962162,22.101846045180384,2.5106019671390593e-06,0.001584487919530805
1106,0.02374662310299523,0.0032668656840989384,0.017503048080710633,0.030066930223776787,13.757179999571726,1.0672411397943224e-05,0.0032668656840989384
1107,0.007121601125644585,0.0017519784689808877,0.003960836466768119,0.010679254558605012,24.60090698806603,3.0694285557726153e-06,0.0017519784689808877
1108,0.03736901255421265,0.003612767865628907,0.0306045965353704,0.04451465380865136,9.667817313576931,1.3052091650920848e-05,0.003612767865628907
1109,0.00855038817326276,0.001778629962396369,0.0052421540517063455,0.012002071338435831,20.80174521150024,3.163524543134109e-06,0.001778629962396369
1110,0.02004493174815181,0.0027791096602081357,0.014601340945938505,0.025379366203192907,13.864400712985098,7.723450503462179e-06,0.0027791096602081357
1111,0.0059328836436985085,0.0014558653350255552,0.0032988190929625454,0.008889256059652042,24.538916022259645,2.119543873729072e-06,0.0014558653350255552
1112,0.002897971436188223,0.0010067681284172936,0.0011243779534860358,0.004866494014370347,34.74044346487838,1.0135820643968604e-06,0.0010067681284172936
1113,0.01636618955169423,0.002797124464432153,0.01113813672308152,0.021917341001228375,17.090871736497725,7.823905269524859e-06,0.002797124464432153
1114,0.027287674051051064,0.0034398681548099765,0.021001920898345346,0.034219009705381775,12.605941233300094,1.1832692922475793e-05,0.0034398681548099765
1115,0.0016834017772911452,0.0007612722799561277,0.000465764373441876,0.0031955851651395166,45.22225711209198,5.795354842296009e-07,0.0007612722799561277
1116,0.025746647094062294,0.0036399900335003883,0.01875908252386457,0.03302876346906121,14.137724497493288,1.3249527443982156e-05,0.0036399900335003883
1117,0.007993639557797813,0.001900426977887661,0.004465811462927075,0.011700490605422702,23.774239057774256,3.611622698283228e-06,0.001900426977887661
1118,0.006734252433766762,0.001828274524324016,0.0033358586097627222,0.010298691556790033,27.148886120703114,3.342587736292207e-06,0.001828274524324016
1171,0.036668570860360974,0.0038787212570010176,0.029437722933663632,0.044677580398901226,10.577781369695941,1.5044478589511553e-05,0.0038787212570010176
1172,0.01482287331490863,0.0027839215209452327,0.009847024339714072,0.020595495579160565,18.78125422650145,7.750219034782017e-06,0.0027839215209452327
1173,0.09890775570297941,0.006511704133510662,0.08599602653842289,0.11140193252951094,6.583613274034191,4.240229072237984e-05,0.006511704133510662
1174,0.12865340972637057,0.007063630337154301,0.11513432230039673,0.14271370561310714,5.49043383473298,4.989487353996658e-05,0.007063630337154301
1175,0.01988503437534811,0.00287786628313957,0.014436125907328264,0.025590811264207536,14.472523551215586,8.282114343631565e-06,0.00287786628313957
1201,0.0028099269958671434,0.0009426038282552969,0.0010778377703062718,0.004621168221881759,33.5454917384574,8.885019770415413e-07,0.0009426038282552969
