"IDKABKOT","NAMA_KAB","est_prop","rse_prop","n","y","proporsi_R704AK2","proporsi_R704BK2","proporsi_R704CK2","proporsi_R704DK2","proporsi_R704EK2","proporsi_R704FK2","proporsi_R704GK2","proporsi_R704HK2","proporsi_R704IK2","proporsi_R704JK2","proporsi_R704KK2","proporsi_R704LK2","proporsi_R704MK2","proporsi_R705A","proporsi_R705B","proporsi_R705C","proporsi_R705D","proporsi_R705E","proporsi_R706A1","proporsi_R706A2","proporsi_R706B","proporsi_R706C","proporsi_R706D","proporsi_R805A","proporsi_R805B","proporsi_R805C","proporsi_R805D","proporsi_R805E","proporsi_R805F","proporsi_R805G","proporsi_R805H","proporsi_R805I"
"1101","SIMEULUE",0.00884432409838717,61.3445614172348,2101,25,0.0072463768115942,0,0.101449275362319,0.0072463768115942,0.528985507246377,0.0072463768115942,0.0652173913043478,0,0.072463768115942,0.260869565217391,0,0.0434782608695652,0.036231884057971,1,1,0.072463768115942,0.304347826086957,0.992753623188406,0.0797101449275362,0.108695652173913,0.0217391304347826,0.91304347826087,0.72463768115942,0.333333333333333,0.405797101449275,0.434782608695652,0.340579710144928,0.528985507246377,0.601449275362319,0.326086956521739,0.0217391304347826,0.0797101449275362
"1102","ACEH SINGKIL",0.00413232768894317,60.900906721801,2284,13,0.00840336134453781,0,0.0420168067226891,0.0588235294117647,0.285714285714286,0.0672268907563025,0.109243697478992,0.00840336134453781,0.117647058823529,0.319327731092437,0.0168067226890756,0.159663865546218,0.0840336134453782,0.991596638655462,0.983193277310924,0.0588235294117647,0.932773109243697,0.991596638655462,0.100840336134454,0.184873949579832,0.0840336134453782,0.840336134453782,0.579831932773109,0.327731092436975,0.378151260504202,0.403361344537815,0.310924369747899,0.613445378151261,0.46218487394958,0.210084033613445,0.00840336134453781,0.0672268907563025
"1103","ACEH SELATAN",0.00448573173513804,60.4259002360661,2207,11,0.00769230769230769,0,0.0692307692307692,0.0423076923076923,0.296153846153846,0.0346153846153846,0.0846153846153846,0.0384615384615385,0.130769230769231,0.230769230769231,0.0538461538461538,0.0769230769230769,0.0923076923076923,1,1,0.0923076923076923,0.392307692307692,1,0.123076923076923,0.142307692307692,0.0769230769230769,0.673076923076923,0.796153846153846,0.45,0.369230769230769,0.326923076923077,0.419230769230769,0.507692307692308,0.580769230769231,0.469230769230769,0.0423076923076923,0.0538461538461538
"1104","ACEH TENGGARA",0.00462858900867996,53.3645322663868,1954,12,0.00779220779220779,0,0.0337662337662338,0.0155844155844156,0.0623376623376623,0.0337662337662338,0.0441558441558442,0,0.106493506493506,0.306493506493506,0,0.0701298701298701,0.0337662337662338,0.992207792207792,0.981818181818182,0.0207792207792208,0.150649350649351,0.994805194805195,0.0727272727272727,0.0623376623376623,0.025974025974026,0.753246753246753,0.519480519480519,0.161038961038961,0.184415584415584,0.223376623376623,0.212987012987013,0.506493506493506,0.438961038961039,0.249350649350649,0.0155844155844156,0.0649350649350649
"1105","ACEH TIMUR",0.00766252418379419,65.8609069378595,2466,17,0.0058252427184466,0,0.0233009708737864,0.0310679611650485,0.124271844660194,0.0174757281553398,0.0446601941747573,0.0194174757281553,0.161165048543689,0.266019417475728,0.339805825242718,0.087378640776699,0.0388349514563107,0.996116504854369,0.986407766990291,0.106796116504854,0.541747572815534,0.996116504854369,0.0563106796116505,0.0660194174757282,0.0271844660194175,0.889320388349515,0.502912621359223,0.30873786407767,0.299029126213592,0.304854368932039,0.314563106796116,0.506796116504854,0.475728155339806,0.355339805825243,0.0233009708737864,0.0932038834951456
"1106","ACEH TENGAH",0.028539551393878,32.4309656506502,2010,49,0.00677966101694915,0,0.023728813559322,0.0338983050847458,0.128813559322034,0.0135593220338983,0.0610169491525424,0.00677966101694915,0.335593220338983,0.183050847457627,0.779661016949153,0.0813559322033898,0.0576271186440678,1,0.996610169491525,0.0338983050847458,0.894915254237288,1,0.0949152542372881,0.0915254237288136,0.0644067796610169,0.983050847457627,0.538983050847458,0.186440677966102,0.247457627118644,0.24406779661017,0.203389830508475,0.474576271186441,0.467796610169492,0.277966101694915,0.0101694915254237,0.0644067796610169
"1107","ACEH BARAT",0.00421055185443633,70.3381664271074,1994,14,0.0124610591900312,0,0.0311526479750779,0.00934579439252336,0.152647975077882,0.0311526479750779,0.0404984423676012,0.0155763239875389,0.0934579439252336,0.0778816199376947,0.109034267912773,0.0498442367601246,0.0311526479750779,1,0.993769470404984,0.0467289719626168,0.2398753894081,0.993769470404984,0.0716510903426791,0.0560747663551402,0.0373831775700935,0.523364485981308,0.448598130841121,0.242990654205607,0.193146417445483,0.190031152647975,0.180685358255452,0.373831775700935,0.292834890965732,0.249221183800623,0.00623052959501558,0.0654205607476635
"1108","ACEH BESAR",0.051609011065338,30.2702312532467,2657,102,0.0033167495854063,0,0.0265339966832504,0.021558872305141,0.087893864013267,0.0580431177446103,0.0679933665008292,0.00995024875621891,0.185737976782753,0.235489220563847,0.374792703150912,0.0779436152570481,0.0514096185737977,1,0.996683250414594,0.0066334991708126,0.873963515754561,1,0.114427860696517,0.135986733001658,0.054726368159204,0.729684908789386,0.711442786069652,0.162520729684909,0.14759535655058,0.203980099502488,0.250414593698176,0.447761194029851,0.507462686567164,0.376451077943615,0.0033167495854063,0.0398009950248756
"1109","PIDIE",0.0101385422467929,48.8218934833335,2446,21,0.00683994528043776,0,0.0109439124487004,0.0246238030095759,0.0957592339261286,0.0314637482900137,0.0519835841313269,0.00136798905608755,0.120383036935705,0.170998632010944,0.0287277701778386,0.0328317373461012,0.0560875512995896,1,0.998632010943912,0.0300957592339261,0.837209302325581,1,0.0615595075239398,0.0820793433652531,0.027359781121751,0.733242134062927,0.803009575923393,0.248974008207934,0.239398084815321,0.222982216142271,0.320109439124487,0.497948016415869,0.526675786593707,0.502051983584131,0.0136798905608755,0.0506155950752394
"1110","BIREUEN",0.0260503822659334,41.6553077632564,2440,50,0.00821018062397373,0,0.0229885057471264,0.00985221674876847,0.0804597701149425,0.090311986863711,0.077175697865353,0,0.185550082101806,0.566502463054187,0.00164203612479475,0.0525451559934319,0.0311986863711002,1,1,0.0394088669950739,0.756978653530378,1,0.0821018062397373,0.114942528735632,0.0476190476190476,0.845648604269294,0.656814449917898,0.282430213464696,0.316912972085386,0.28735632183908,0.318555008210181,0.58128078817734,0.627257799671593,0.417077175697865,0.0262725779967159,0.0476190476190476
